commit	paths	cluster	disposition	contract	evidence	required
0404020f7b944398db529a0d09726a0e5f3c06a4	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	merge-integration	Merge reconciled connection-bound actions with name identity and fail-closed canonical lookup.	Final-source C01 implementation and exact merge inventory.	Covered by the complete C01 live matrix.
d3e087fd8c2441577bac614c755ec46a1c4e7ee8	apps/desktop/src/plugins/hermes-bots/plugin.js;website/docs/user-guide/bot-mode.md	C02-a2a-cron	portable-implemented-live-proof	Bots on distinct Desktop connections can communicate without switching ambient gateway authority.	GatewayClientPool source-qualified A2A routing and duplicate-route tests.	Two live gateways with colliding handles and markerless reply attribution.
3638961da890c426ee93dcddfaf78d8e1be2420e	apps/desktop/src/plugins/hermes-bots/plugin.js	C02-a2a-cron	portable-implemented-live-proof	Hosted handoff retains the bot display alias without borrowing route identity.	Markerless sender/reply projection in AppModelLive+Feeds.swift and SourceQualifiedRoutingTests.	Cloud alias handoff round trip with a colliding local alias.
613244cbb1280dc9fac467e5fe30e2fa93787687	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	The global roster unifies source-qualified bots while preserving source ownership and ordering.	unionRosterBots MultiGateway roster and ranking/unread tests.	Two-gateway roster with pin recency search hide and reconnect.
9b36c2d43ce952969ba22287feb89c7c55403459	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	New Bot surfaces carry their owner route instead of inheriting the active gateway.	Talaria chat routes retain GatewayBotRoute and exact client generation.	Create/open foreign Bot Chat while another gateway is foreground.
b42d8279edb45937559cb620eb3c8bb5b2222998	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-gap	Each group room retains its own unsent composer draft across room switches.	RoomComposer currently stores draft and attachments only in view-local State.	Separate runtime PR: bounded per-RoomID draft store with deletion privacy and attachment lifecycle tests.
856fc66d19b679cf6440aadf122ac5bb0d75984a	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	Owner wake is bounded and cannot race a stale route into a Bot action.	Pool-slot and profile lifecycle leases fence canonical and room mutations.	Sleep/wake and gateway replacement during foreign Bot action.
a81854a2bd81eb73b83761eb077c75616313b276	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	Bot surfaces survive owner lifecycle changes without silently rebinding to another source.	Source-qualified chat storage and route-generation invalidation.	Disconnect/reconnect owner while its chat remains selected.
9ff7f3325c24d937caf9b10546dcf8718dec1dcd	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	Cross-realm registry failures remain attributable to the owning connection.	Bounded source-labelled errors and no ambient fallback in canonical chat.	Foreign registry failure must name its source and mint nothing.
8523819fcf881f8fc903bcd46d68abf2075fb979	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	Bot actions consume the shared owner-routing primitive consistently.	GatewayBotRoute and GatewayClientPool are Talaria's shared routing primitive.	Static source audit plus C03 live matrix.
2ec229ec5adfe7372d5a858802af406f82b5beb0	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	Roster queries retain ambient SDK owner semantics while alias refresh remains source-qualified.	MultiGateway roster entries and aliases derive from the same qualified Bot row.	Refresh aliases during gateway switch and prove no row migrates source.
a4c6c6bddb75b260a5323592b1f6c2659fafab14	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	portable-implemented-live-proof	First bot-row activation opens the requested chat without the home surface stealing focus.	Native selected bot state opens directly; no Desktop home re-front loop.	UI test first-tap selection on cold launch.
f530cd2b54cd1a7605f89249b414199350f4e883	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Room activity uses current friendly bot identity after rename rather than stale stored labels.	Room member identity retains friendly raw and route aliases; rename tests.	Rename a speaking member on Desktop then continue on phone.
d5281f59819d2ea2ce6754faec2ce317c92366c8	apps/desktop/src/plugins/hermes-bots/plugin.js	C01-canonical-routing	portable-implemented-live-proof	A reclaimed canonical Bot Chat resumes its resolved tip before the next send.	Canonical root/tip resolution and adopt-before-submit in AppModelLive+CanonicalChat.swift.	Compression/reclaim then immediate send on phone.
d4f426792b25f0768e714392ef2d2aa84a84c3b6	apps/desktop/src/plugins/hermes-bots/plugin.js	C05-attention-relay	portable-implemented-live-proof	Background bot failures raise visible attention without changing conversation ranking authority.	Durable unread watermarks failed-turn cards and room needsUser remain separate signals.	Background failure on unopened local and foreign bot; clear only after authoritative read.
387698a60d0984f64180b07ba72f7c5d988a3f5e	apps/desktop/src/plugins/hermes-bots/plugin.js	C05-attention-relay	portable-implemented-live-proof	Attention lookup covers active-gateway bots as well as remote relay rows.	One source-qualified unread store covers every gateway including the active slot.	Failure/unread proof on active and secondary gateway bots.
e00d6c1995ea0fc34e3b6722b8f800baaf89d2ca	apps/desktop/src/plugins/hermes-bots/plugin.js	C03-roster-ownership	portable-implemented-live-proof	A transient profile refresh failure cannot mark a still-live connection absent.	Connection registry separates socket state from bounded refresh diagnostics.	Inject one profiles.list failure while heartbeat remains healthy.
2eaa863112d2980bbe6f15ea409a6a29e50964fe	apps/desktop/src/plugins/hermes-bots/plugin.js	C05-attention-relay	merge-integration	Envelope-TTL topic merge integrated relay freshness behavior into Bot Mode.	Final C05 relay/watermark contract; exact merge path retained.	Covered by delayed/duplicate relay delivery live cases.
9c829f965dcd4b2ee536dbafcf555f58b0d110b5	apps/desktop/src/plugins/hermes-bots/plugin.js	C05-attention-relay	desktop-only	Desktop's local bot-relay drain is push-notified with polling as a backstop.	Talaria does not own the Desktop relay process; it consumes gateway events and native push.	N/A implementation; live proof that native push/event delivery yields one unread message.
bb63e0c4c7469f80115a9cf982ed224d8ffe49d0	apps/desktop/src/plugins/hermes-bots/plugin.js	C05-attention-relay	desktop-only	Desktop re-schedules a push that races an in-flight local relay drain.	No Desktop drain loop exists on iOS; native notification and event dedupe own mobile delivery.	N/A implementation; retain duplicate/race notification certification.
1aadf863f9d6685afc9373c7bc15d8d2c45e9008	apps/desktop/src/plugins/hermes-bots/plugin.js	C05-attention-relay	desktop-only	Stopping Desktop's relay clears a remembered mid-drain rerun so restart cannot fire one stale drain.	Talaria does not host the Desktop relay loop; native event/push state has separate lifecycle invalidation.	N/A implementation; retain stop/restart duplicate-notification live proof.
ae6baf333f365bf8e62ae020836264a33f519ceb	apps/desktop/src/plugins/hermes-bots/plugin.js	C06-room-turn-consistency	portable-implemented-live-proof	Room rendering drops superseded turns and deduplicates adjacent identical replies.	Stable RoomEntry ids bounded RoomStore mutation and projection merge dedupe.	Deliver duplicate and superseded member completions across reconnect.
0c474d782073266a76528ff98b3a1957714e5d44	apps/desktop/src/plugins/hermes-bots/plugin.js	C06-room-turn-consistency	portable-gap	Stopping a room member is sticky until that exact member is explicitly resumed.	Talaria exposes no exact member stop/resume control or durable per-member hold.	Separate runtime PR: source-qualified member hold/resume state and stale-generation tests.
2863e8fb5da4dc47d055c999fa3b0743ae12ce46	apps/desktop/src/plugins/hermes-bots/plugin.js	C06-room-turn-consistency	portable-gap	Review follow-ups preserve sticky member stop while tightening room-race handling.	The race-safe room drive exists but the explicit durable member hold contract does not.	Cover with the separate member hold/resume runtime PR.
a234e93654d9fa9e6ce1c53ca9b1f0a131d2cb4b	apps/desktop/src/plugins/hermes-bots/plugin.js	C06-room-turn-consistency	portable-implemented-live-proof	During-turn tails anchor by stable entry id rather than a mutable array index.	RoomAttempt promptAnchor and stable entry identity in RoomModels and RoomEngine tests.	Trim/merge room history during a live member turn.
913de4eca657f1663a94f50cece2118d1b09ad54	apps/desktop/src/plugins/hermes-bots/plugin.js	C07-desktop-shell	portable-implemented-live-proof	Selecting a cronjob-associated Bot row opens its underlying conversation.	Talaria exposes routines separately and canonical Bot Chat navigation remains available.	Live routine-to-chat navigation smoke test; no Electron row port.
2350f4dc609f615f06ef073fb5b94a110ea5e84d	apps/desktop/src/plugins/hermes-bots/plugin.js	C07-desktop-shell	desktop-only	Desktop bounds home re-fronting so its multi-pane Bot view does not strobe.	Talaria has one native navigation selection and no keep-alive Desktop home pane.	N/A: native cold-open UI smoke test only.
1b18442f36099765354d60c390d569155e662b64	apps/desktop/src/plugins/hermes-bots/plugin.js	C07-desktop-shell	portable-gap	Bot-profile cleanup must not hide a newly created visible draft while its first-turn title is pending.	Talaria hides sessions it already owns but has no bounded profile inventory sweep for otherwise orphaned Bot plumbing.	Separate runtime PR: exact-profile bounded sweep with a fail-closed creation-age grace.
8fca54f9f15cc3b5a12a16b7d03e838df4bd72a7	apps/desktop/src/plugins/hermes-bots/plugin.js	C07-desktop-shell	portable-gap	The cleanup grace is five minutes; missing malformed millisecond or future timestamps fail closed and remain visible.	No Talaria equivalent proves this stale-plumbing cleanup boundary.	Cover in the separate bounded Bot-session reconciliation PR with timestamp fixtures.
525597c9c3ce1bc3f3d7217954af10a364ac7999	apps/desktop/src/plugins/hermes-bots/plugin.js	C06-room-turn-consistency	portable-implemented-live-proof	Transient group-session resume failure fails closed and cannot mint or fork room work.	Room resume authority retains pending attempts/cards on transient failure.	Inject member resume outage and prove no replacement session or pass.
c584d15cdc31e1ebf3989c426ed05fb2ddb0c9fc	apps/desktop/src/plugins/hermes-bots/plugin.js;website/docs/user-guide/bot-mode.md	C02-a2a-cron	gateway-owned-live-proof	Typed A2A failure reasons reach the sending agent through message_agent.	Talaria renders bounded tool/failure text but does not own agent-to-agent execution.	Live unreachable/refused/timeout recipient cases with no secret leakage.
34feb375acbadf8b5cfe067278108b2cd374ef50	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Disband clears stale group metadata so removed rooms do not reappear.	Room tombstone and metadata outbox deletion paths plus cached-tombstone tests.	Disband offline then reconnect every projected gateway.
7e67f64fcee9340f40a1c6f912fc650aa4984510	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	desktop-only	Desktop group composer ignores Enter while IME composition is active.	SwiftUI TextField owns native IME submission semantics and has no Electron key handler.	N/A literal port; real-device IME composition smoke test.
09529afdd2ac9f5fb038fd70763b7fadd2195280	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Deleting a member connection cannot crash an existing group room.	Frozen projection seats and source-qualified member routes remain inert when unavailable.	Delete a saved gateway while its room remains open.
ec013b76db2ae4380a930e6b24da0bfb4361d367	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Strict action routing is separate from passive roster display lookup.	Frozen seats are view-only; mutations require exact reachable GatewayBotRoute.	Hydrate foreign seat then attempt action before and after exact route adoption.
c509af689f15107e7ccdbc2bd10eaa3453867444	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Connection removal sweeps group-room live route associations without deleting durable room history.	Profile/gateway lifecycle room cleanup preserves protected local room storage.	Remove/re-add gateway with existing room transcript and tombstones.
725cfe29098691cadccbb9e8bd92eb392cb87f8c	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Hydration labels members already orphaned before the room was loaded.	RoomProjectionHydration creates explicit frozen projection seats without guessed routes.	Launch with cached foreign room after deleting its saved gateway.
40ab950ae3c26ed7d15753f7ac6caa94f598b11d	apps/desktop/src/plugins/hermes-bots/plugin.js	C04-room-lifecycle	portable-implemented-live-proof	Render-reachable route lookups guard orphaned rows instead of throwing or acting ambiently.	Room presentation tolerates frozen seats; interactions are authority-gated.	Open every orphaned-member detail/action surface.
06fc941d2315962480482bc98e45709f8bb1c914	apps/desktop/src/plugins/hermes-bots/plugin.js	C05-attention-relay	desktop-only	Desktop bot-relay drain reuses one socket per connection rather than redialing each poll.	Talaria does not host Desktop's relay drain and GatewayClientPool owns mobile sockets.	N/A implementation; observe bounded mobile connection count during A2A delivery.
c29c9d17901eb55591faa0851613aa136befc13f	apps/desktop/src/plugins/hermes-bots/plugin.js	C06-room-turn-consistency	portable-implemented-live-proof	A group member turn holds its runtime socket lease so the session reaper cannot kill it.	Talaria room drives retain exact pool-slot and lifecycle authority across awaited operations.	Run a long foreign member turn across reaper and gateway reconnect boundaries.
e26d91dc11ea32f2f1af2c9778d424172f834431	website/docs/user-guide/bot-mode.md	C02-a2a-cron	gateway-owned-live-proof	message_agent is structured Bot-Chat-only agent-to-agent delivery owned by Hermes.	Talaria directs users through a canonical Bot Chat and never fabricates the tool call.	Live local/foreign delivery and privacy/refusal cases.
b274b346d846fdd38ac650ebf00c50b84ad00ee2	website/docs/user-guide/bot-mode.md	C02-a2a-cron	gateway-owned-live-proof	Bot A2A retries resume transient turns and compact then resume context-overflow turns.	Agent retry/compression is gateway-owned; Talaria consumes the final canonical transcript.	Force transient and context-overflow A2A failures and prove one final result.
98f6fc549a338b3903b6e86e31b8b0210671b991	website/docs/user-guide/desktop.md	C08-failed-turn-diagnostics	portable-implemented-live-proof	Failed turns expose typed failing layer identity and bounded recovery actions.	TurnFailure ErrorSurface FailedTurnCard retry/settings/copy/dismiss tests.	Live provider gateway tool and unknown failure layers.
e3d46bb5fb48c14d205f80a71daaff199005e802	website/docs/user-guide/desktop.md	C08-failed-turn-diagnostics	superseded	Intermediate Desktop error card added a Portal support link.	Reverted by 3903428a; it is not part of the target contract.	No implementation.
3903428a72023ea26cfa6119710728525716ace3	website/docs/user-guide/desktop.md	C08-failed-turn-diagnostics	superseded	Revert removes the intermediate Portal-auth support-link behavior.	Target contract omits that conditional support action.	No implementation; retain ordinary bounded support surfaces only.
50f1e414bc5a4eb7ee83c38003b0adca428bc6ce	website/docs/user-guide/desktop.md	C08-failed-turn-diagnostics	portable-implemented-live-proof	Error action copy is explicitly labelled Copy error details.	FailedTurnCard action labels and bounded diagnostics copy.	VoiceOver and clipboard smoke test on a real failed turn.
334bcbac93b044d29da88507af4ee8d6415d5c2b	website/docs/user-guide/desktop.md	C08-failed-turn-diagnostics	portable-implemented-live-proof	Retry respects classifier verdict and exact failing-session identity.	FailedTurnRetryLease exact row/session/source fences and retry tests.	Retryable/nonretryable failures plus source switch during retry.
8f30e9c77a9e7a7b5c8ab445a85062777c821491	website/docs/user-guide/desktop.md	C08-failed-turn-diagnostics	portable-implemented-live-proof	Send Diagnostics requires explicit consent and uploads a redacted debug bundle.	PrivateDiagnostics authority lease consent sheet bounded errors and Nous receipt handling.	Physical-device consent cancel success timeout and source-switch matrix.
4fee6f31a09d69c3cb8b9459a9fffeb3dcb4933d	website/docs/user-guide/desktop.md	C07-desktop-shell	desktop-only	Desktop documentation records Linux/Wayland HUD movement constraints.	Talaria has no Linux HUD or compositor window.	N/A by platform.
81baae6bc3af215eb596380ed57be92ee9996fda	website/docs/user-guide/desktop.md	C07-desktop-shell	desktop-only	Linux X11 HUD movement and resizing are polished in the Desktop window layer.	No mobile analogue; iOS owns app-window geometry.	N/A by platform.
