commit	paths	cluster	classification	disposition	talariaSlice	contract	evidence	required
13fcf2fe38cde19e98b5350dee92143d93a552ab	agent/agent_runtime_helpers.py;agent/background_review.py;agent/context_compressor.py;agent/conversation_loop.py;agent/native_compaction.py;agent/turn_context.py;cron/scheduler.py;run_agent.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
6e5362833877ee370bf243f5b602f45318ae3f69	agent/error_classifier.py	R04-failure-retry-and-interrupt	portable-mobile-runtime	covered-by-open-slice	error-surface-v2	Retry, failure classification, and cancellation must not publish stale or ambiguous turn state.	Pinned classifier, loop, interrupt, and turn paths capture the host contract; the error-surface slice owns user presentation.	Exercise provider retry, hard interrupt, cancellation diagnostics, and a retry after reconnect.
fdf01114100c848da5a5095f5a52e538bb95cbec	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
6b7aee2f80ec5c2d6805c8a5145b2f7a084a3286	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
dd03471858a1fb00c3fa0a62bb6bd4ec8b18e7f5	cron/scheduler.py	R05-cron-execution-and-retirement	portable-mobile-runtime	covered-by-open-slice	cron-push-isolation	Cron scheduling, delivery, and list/detail state must keep a single source of truth across gateway and mobile surfaces.	Pinned cron paths capture execution and retirement behavior; the cron push slice owns compatible mobile observation where a wire exists.	Exercise create, re-arm, run, stale due handling, and refresh after a cron.changed notification.
8a949659c3e5705fe6b6e16b611a7600dbf091de	run_agent.py	R07-provider-and-host-runtime	gateway-host-runtime	host-only	none	Provider credentials, route selection, caching, and SDK request transforms are gateway-host runtime concerns.	Pinned provider/runtime paths prove the behavior is upstream host implementation rather than an app wire feature.	Run provider-host integration coverage; mobile consumes resulting turns only.
a270c4adeab6d4466ed93a628ce5c34d363bd6cd	tools/terminal_tool.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
8e475ed27b1199b8d0bbf094cf2e15fcd555f8cf	tools/terminal_tool.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
4c76ec81a97df299e7db493489185d55d3f292d4	agent/conversation_compression.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
4a6b362178ab2445e8310cc55a49fa2816b7aad0	agent/conversation_compression.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
ebae0064a28181375c85e1f321394fefc9a6634f	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
a36d6704b67c5a5d45ebffc283798ee4525e44b9	agent/agent_runtime_helpers.py;agent/context_compressor.py;agent/turn_context.py;run_agent.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
fe95ed3930e3fe203c703a3893928e31b5ccbb69	agent/conversation_compression.py;agent/conversation_loop.py;agent/error_surface.py;agent/tool_executor.py;agent/turn_context.py;cron/scheduler.py;run_agent.py;tools/cronjob_tools.py;tools/terminal_tool.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
7ff2fe8bc9fe9eb8881cba053892cb99e26688f4	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
dff84f18901c3b3c082e7783ea03b7bb7b9ef6c7	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
72ae855da517b80d73b825321cad2b5b8e25a56b	agent/conversation_compression.py;agent/turn_finalizer.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
183e53656ee7920ddd6795c61b3ddcd18e224f8e	run_agent.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
b7544dba011d2e2596be82df2a6d3d239ae349d7	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
9e18197745cc12f2c93196d67260bdcd23b51adb	tools/process_registry.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
e63786fc23a91a01bf033db461f65c36acc2fc30	agent/conversation_loop.py	R04-failure-retry-and-interrupt	gateway-host-runtime	host-only	none	Retry, failure classification, and cancellation must not publish stale or ambiguous turn state.	Pinned classifier, loop, interrupt, and turn paths capture the host contract; the error-surface slice owns user presentation.	Exercise provider retry, hard interrupt, cancellation diagnostics, and a retry after reconnect.
0e038425db3db793ba827936250677c1b5970e6f	tools/terminal_tool.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
9ea7fe993869109767f05a2e0611d8f15a30fabd	agent/conversation_loop.py;agent/tool_executor.py;cron/scheduler.py	R05-cron-execution-and-retirement	gateway-host-runtime	host-only	none	Cron scheduling, delivery, and list/detail state must keep a single source of truth across gateway and mobile surfaces.	Pinned cron paths capture execution and retirement behavior; the cron push slice owns compatible mobile observation where a wire exists.	Exercise create, re-arm, run, stale due handling, and refresh after a cron.changed notification.
26cf4565984d34bbbe58a32f7ec8784144efcd41	agent/conversation_loop.py	R04-failure-retry-and-interrupt	gateway-host-runtime	host-only	none	Retry, failure classification, and cancellation must not publish stale or ambiguous turn state.	Pinned classifier, loop, interrupt, and turn paths capture the host contract; the error-surface slice owns user presentation.	Exercise provider retry, hard interrupt, cancellation diagnostics, and a retry after reconnect.
3eb761c51c5b1871d231ae45df233e31e1116ace	agent/conversation_loop.py;agent/tool_executor.py;cron/scheduler.py	R09-merge-parent-integration	merge-integration	merge-integration	none	The merge retains changes from all parents; it introduces no separately portable mobile contract.	The checker unions every parent diff for this exact merge and verifies its complete endpoint path set.	Rely on the constituent cluster verification; no independent client feature is required.
56e7fd2adf094f2f0c8db1aaa9ca31ba2f126a5d	agent/conversation_loop.py;run_agent.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
b8cd00f96877e2d50bba23320acb404226de1d46	agent/conversation_loop.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
1a83b1e588399cba074e7ceb3bc34e68db998427	agent/agent_runtime_helpers.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
52fb5081cc644cc6d348d1ebb0631aab6e0859d8	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
b9a62f6590daef87c0f1afd1ac539b762e4cf61a	agent/agent_runtime_helpers.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
36b4da5489768709e9fc6d1e4000ec9228a00307	agent/agent_runtime_helpers.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
faa2399e2b3fe4907051209ba2982622670a85a4	agent/agent_runtime_helpers.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
637716755cb81e01eccd0aeea6ea41a251350a9f	run_agent.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
1c791cbfe67dcf0da5bdf6fdd80e075018d6df8d	tools/terminal_tool.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
b34edd6b019887363a792e058fd86f0670f173a5	tools/code_execution_tool.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
5496d5995ab7f8391d92e3ff35c0f196b5c52b01	agent/agent_runtime_helpers.py;agent/context_compressor.py;agent/conversation_loop.py;agent/message_sanitization.py;agent/tool_dispatch_helpers.py;agent/tool_executor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
a2a43f7e82d1d60255ffcdd1ee7f63224c992a89	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
c1c0efa375cb34da85936676c63fbcc3da50e320	agent/tool_executor.py;agent/turn_context.py;run_agent.py;tools/code_execution_tool.py;tools/interrupt.py	R04-failure-retry-and-interrupt	portable-mobile-runtime	covered-by-open-slice	error-surface-v2	Retry, failure classification, and cancellation must not publish stale or ambiguous turn state.	Pinned classifier, loop, interrupt, and turn paths capture the host contract; the error-surface slice owns user presentation.	Exercise provider retry, hard interrupt, cancellation diagnostics, and a retry after reconnect.
2033f4cc34dc861ed5144246f39b98de1589a031	agent/background_review.py;agent/interrupt_compat.py;agent/subagent_lifecycle.py;run_agent.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
4202a508fdd977df1601ec90e578a850cf28be97	agent/background_review.py;agent/conversation_loop.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
74e6885f0d8df98c223feedeb032376fd834b3d9	agent/background_review.py;agent/conversation_loop.py;agent/turn_context.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
8f9abc98730861cff1606870f2d82d3f253fb862	cron/jobs.py	R05-cron-execution-and-retirement	portable-mobile-runtime	covered-by-open-slice	cron-push-isolation	Cron scheduling, delivery, and list/detail state must keep a single source of truth across gateway and mobile surfaces.	Pinned cron paths capture execution and retirement behavior; the cron push slice owns compatible mobile observation where a wire exists.	Exercise create, re-arm, run, stale due handling, and refresh after a cron.changed notification.
03477166f96534e60cb5754310514a39c3b5ef21	agent/gemini_native_adapter.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
ce51f535d33a9af1f79cdf346f4ebff559ab553c	agent/gemini_native_adapter.py	R03-tool-turn-and-provider-settlement	test-only	test-only	none	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
f778c0d94109252b376b98df297c2ee99def803a	agent/context_compressor.py	R01-compaction-and-transcript-continuity	portable-mobile-runtime	covered-by-open-slice	rich-transcript-hydration	Compaction and transcript-carrier behavior must preserve the visible durable conversation while host history is compressed.	Pinned upstream endpoint paths and every-parent diff union are the source proof; Talaria transcript slices are pinned below.	Exercise compaction, refresh, reconnect, and transcript hydration without losing live user or tool carriers.
5a24dcf4f230825d51b5c44d4026fec1e0b03577	cron/jobs.py	R05-cron-execution-and-retirement	portable-mobile-runtime	covered-by-open-slice	cron-push-isolation	Cron scheduling, delivery, and list/detail state must keep a single source of truth across gateway and mobile surfaces.	Pinned cron paths capture execution and retirement behavior; the cron push slice owns compatible mobile observation where a wire exists.	Exercise create, re-arm, run, stale due handling, and refresh after a cron.changed notification.
ec4b3bc06aaff9c168a6174f35e0d653589693bc	cron/jobs.py	R05-cron-execution-and-retirement	portable-mobile-runtime	covered-by-open-slice	cron-push-isolation	Cron scheduling, delivery, and list/detail state must keep a single source of truth across gateway and mobile surfaces.	Pinned cron paths capture execution and retirement behavior; the cron push slice owns compatible mobile observation where a wire exists.	Exercise create, re-arm, run, stale due handling, and refresh after a cron.changed notification.
f2639f8872b9e44c971549b504b997b85f776609	cron/jobs.py	R05-cron-execution-and-retirement	portable-mobile-runtime	covered-by-open-slice	cron-push-isolation	Cron scheduling, delivery, and list/detail state must keep a single source of truth across gateway and mobile surfaces.	Pinned cron paths capture execution and retirement behavior; the cron push slice owns compatible mobile observation where a wire exists.	Exercise create, re-arm, run, stale due handling, and refresh after a cron.changed notification.
c2090ba6b41cf6aa62616d98a9eee03df2de4dc1	agent/error_classifier.py	R04-failure-retry-and-interrupt	desktop-host-runtime	desktop-only	none	Retry, failure classification, and cancellation must not publish stale or ambiguous turn state.	Pinned classifier, loop, interrupt, and turn paths capture the host contract; the error-surface slice owns user presentation.	Exercise provider retry, hard interrupt, cancellation diagnostics, and a retry after reconnect.
654d537088aa499e14b2a859534652dc80b16e7f	agent/error_classifier.py	R04-failure-retry-and-interrupt	portable-mobile-runtime	covered-by-open-slice	error-surface-v2	Retry, failure classification, and cancellation must not publish stale or ambiguous turn state.	Pinned classifier, loop, interrupt, and turn paths capture the host contract; the error-surface slice owns user presentation.	Exercise provider retry, hard interrupt, cancellation diagnostics, and a retry after reconnect.
081cdd991159ad96d08bfd402caace8c54f4c0dc	tools/terminal_tool.py	R06-terminal-process-and-host-lifecycle	gateway-host-runtime	host-only	none	Terminal, process registry, code execution, and host shutdown behavior execute on the gateway host rather than in the mobile app.	Pinned terminal/process paths prove this is host execution behavior, not a mobile runtime contract.	Run host regression coverage; do not create a mobile duplicate of process ownership or lifecycle guards.
720344cfba422bcc131ce120802260c7811fe8da	agent/codex_runtime.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
4f3ae189a39e74c2642a64f4161dd82a6caa414b	agent/codex_runtime.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
580060ffd8ccfcca0aaa63bd88b688ca5c03cbac	agent/codex_runtime.py	R03-tool-turn-and-provider-settlement	portable-mobile-runtime	covered-by-open-slice	rich-transcript-structured-output	Tool-call aliases, streamed provider items, and structured tool results must settle exactly once and remain model-visible.	Pinned runtime and tool paths capture the settlement rules; the structured-output slice is the mobile-facing dependency base.	Exercise mixed id/call_id tool results, delayed Responses items, and schema-bearing Gemini tool output.
22381edc1176d86f8dd0b65d40e7141962bcc6ea	agent/review_engine.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
23fb949f2c62d906231c7d11c05ddccf6e0b0b3c	agent/review_engine.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
7526bd39a8bebd0c260dc80a89184e11279f9a4e	agent/review_engine.py;tools/delegate_tool.py	R02-review-and-subagent-lifecycle	portable-mobile-runtime	covered-by-open-slice	subagent-live-presentation	Review and subagent lifecycle state must remain source-qualified and cancellation-safe across the host and mobile presentation.	Pinned review/background paths identify the host behavior; the named Talaria slice owns the mobile presentation proof.	Exercise review creation, cancellation, replay bounds, and a reconnect while a subagent is active.
