commit	paths	cluster	classification	disposition	talariaStatus	predecessors
a946169533c1bb11b8bdaf5b7da3708185a2b237	hermes_cli/main.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	none
052513f65b6db0b6328dfe8d2c7efb21849fdc3f	hermes_cli/_parser.py;hermes_cli/_startup_fast.py;hermes_cli/auth.py;hermes_cli/auth_commands.py;hermes_cli/backup.py;hermes_cli/bundles.py;hermes_cli/cli_agent_setup_mixin.py;hermes_cli/cli_commands_mixin.py;hermes_cli/cli_output.py;hermes_cli/commands.py;hermes_cli/config.py;hermes_cli/config_defaults.py;hermes_cli/config_migrations.py;hermes_cli/console_engine.py;hermes_cli/copilot_auth.py;hermes_cli/doctor.py;hermes_cli/dump.py;hermes_cli/foreign_sessions.py;hermes_cli/gateway.py;hermes_cli/inventory.py;hermes_cli/main.py;hermes_cli/memory_setup.py;hermes_cli/model_setup_flows.py;hermes_cli/models.py;hermes_cli/nous_subscription.py;hermes_cli/oneshot.py;hermes_cli/plugins.py;hermes_cli/plugins_cmd.py;hermes_cli/process_identity.py;hermes_cli/pt_input_extras.py;hermes_cli/relay_plugin_cutover.py;hermes_cli/sessions_cmd.py;hermes_cli/setup.py;hermes_cli/setup_whatsapp_cloud.py;hermes_cli/skills_hub.py;hermes_cli/subcommands/update.py;hermes_cli/subcommands/version.py;hermes_cli/tips.py;hermes_cli/tools_config.py;hermes_cli/update_cmd.py;hermes_cli/worktree_cmd.py;hermes_cli/worktree_gc.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	authority:C01-canonical-routing
ba42346e99db4078e83ec6f1c0a16ea7e8c217cf	hermes_cli/update_cmd.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	none
1017a5627475dd490374abaea895f200a120d7d5	hermes_cli/models.py;hermes_cli/runtime_provider.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
c01cd26f959fb7c5bb21c89130d1d83c50012d0d	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
d8047c303b1adc1eb38136861925ade6aa913f7d	hermes_cli/gateway.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
42bd567a8064f9a2086527aa520a38cf4674e4d5	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
28a9b6c565b1490aca79c10a6aae6d851a550a84	hermes_cli/auth.py;hermes_cli/main.py;hermes_cli/model_setup_flows.py;hermes_cli/models.py;hermes_cli/providers.py;hermes_cli/runtime_provider.py;hermes_cli/setup.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	core-runtime:R07-provider-and-host-runtime
ca06b8768999c32f0af2a7bf4542678dd883cf79	hermes_cli/auth.py;hermes_cli/model_setup_flows.py;hermes_cli/models.py;hermes_cli/runtime_provider.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	core-runtime:R07-provider-and-host-runtime
930be347f1e3efefae0aa2f98219b3d126abf0ce	hermes_cli/provider_catalog.py;hermes_cli/providers.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
40b4a3bfe1504c3e9b078fe25ff8503e24bb6a5d	hermes_cli/main.py;hermes_cli/update_receipt.py	CLI03-pr91-durable-update-recovery	durable-host-update-recovery	covered-by-pr91-excluded	pr91-excluded	none
f29ee96dd3b5bc4cd7a33ff16d69a1b4c911d344	hermes_cli/gateway.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
30ccd01ba2a7dbf66e93bdd6f0dada663eff7150	hermes_cli/models.py;hermes_cli/setup.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
17d1095443bb72961fd22dc3bec4743c958a8ffa	hermes_cli/gateway.py;hermes_cli/main.py;hermes_cli/models.py;hermes_cli/setup.py;hermes_cli/update_cmd.py;hermes_cli/update_receipt.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	core-runtime:R09-merge-parent-integration
0aecadc17c5c6cfe5b1f50fdd88e65041cb3095c	hermes_cli/main.py;hermes_cli/subcommands/update.py;hermes_cli/update_cmd.py;hermes_cli/update_inventory.py	CLI03-pr91-durable-update-recovery	durable-host-update-recovery	covered-by-pr91-excluded	pr91-excluded	none
2a2307e68f10cb0e89c0114e068570f0543dd350	hermes_cli/auth.py;hermes_cli/inventory.py;hermes_cli/model_switch.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
624723130b50b64b291b9c538fae5ba3638abca5	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
fcbd1076a93841fa88855acce810e342a5b78101	hermes_cli/__init__.py	CLI06-cli-local-management	host-cli-runtime	host-cli-only	none	none
abf87e7248b0218a56fb7f05be8379c7d19dfa7f	hermes_cli/__init__.py;hermes_cli/_install_repair.py;hermes_cli/_parser.py;hermes_cli/_startup_fast.py;hermes_cli/_subprocess_compat.py;hermes_cli/auth.py;hermes_cli/auth_commands.py;hermes_cli/backup.py;hermes_cli/banner.py;hermes_cli/build_info.py;hermes_cli/bundles.py;hermes_cli/claw.py;hermes_cli/cli_agent_setup_mixin.py;hermes_cli/cli_commands_mixin.py;hermes_cli/cli_output.py;hermes_cli/codex_models.py;hermes_cli/commands.py;hermes_cli/config.py;hermes_cli/config_defaults.py;hermes_cli/config_migrations.py;hermes_cli/console_engine.py;hermes_cli/copilot_auth.py;hermes_cli/cron.py;hermes_cli/curator.py;hermes_cli/dashboard_procs.py;hermes_cli/doctor.py;hermes_cli/dump.py;hermes_cli/foreign_sessions.py;hermes_cli/gateway.py;hermes_cli/gateway_enroll.py;hermes_cli/gateway_windows.py;hermes_cli/goals.py;hermes_cli/heartbeat.py;hermes_cli/inventory.py;hermes_cli/kanban.py;hermes_cli/kanban_db.py;hermes_cli/loops.py;hermes_cli/main.py;hermes_cli/memory_setup.py;hermes_cli/model_normalize.py;hermes_cli/model_setup_flows.py;hermes_cli/model_switch.py;hermes_cli/models.py;hermes_cli/nous_subscription.py;hermes_cli/observability/shared_metrics_contract.py;hermes_cli/oneshot.py;hermes_cli/plugins.py;hermes_cli/plugins_cmd.py;hermes_cli/process_identity.py;hermes_cli/profiles.py;hermes_cli/prompt_size.py;hermes_cli/provider_catalog.py;hermes_cli/providers.py;hermes_cli/pt_input_extras.py;hermes_cli/relay_plugin_cutover.py;hermes_cli/runtime_provider.py;hermes_cli/sessions_cmd.py;hermes_cli/setup.py;hermes_cli/setup_whatsapp_cloud.py;hermes_cli/skills_hub.py;hermes_cli/slash_exec.py;hermes_cli/subcommands/cron.py;hermes_cli/subcommands/peer.py;hermes_cli/subcommands/profile.py;hermes_cli/subcommands/skills.py;hermes_cli/subcommands/update.py;hermes_cli/subcommands/version.py;hermes_cli/tips.py;hermes_cli/tools_config.py;hermes_cli/update_cmd.py;hermes_cli/update_receipt.py;hermes_cli/web_git.py;hermes_cli/worktree_cmd.py;hermes_cli/worktree_gc.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	client-wire:W01-transcript-rewind-carriers
13fcf2fe38cde19e98b5350dee92143d93a552ab	hermes_cli/__init__.py;hermes_cli/auth.py;hermes_cli/gateway.py;hermes_cli/inventory.py;hermes_cli/main.py;hermes_cli/model_switch.py;hermes_cli/models.py;hermes_cli/setup.py;hermes_cli/subcommands/update.py;hermes_cli/update_cmd.py;hermes_cli/update_inventory.py;hermes_cli/update_receipt.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	core-runtime:R09-merge-parent-integration
a4bfd7e1449895810507edf27a76a03cbc49a348	hermes_cli/config_defaults.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	none
a2da0ab797edf5e7ca7d3f64591facbbc37ec7f2	hermes_cli/profiles.py;hermes_cli/subcommands/cron.py	CLI09-bot-cron-existing-wire	portable-mobile-runtime	already-portable	existing-generic-cron-delivery	authority:C02-a2a-cron
15751166291cfa82b20b233d33aac61c1a07ade6	hermes_cli/backup.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
67af79d7e1bd8264119c2f02b37a2a0686008666	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
d9d967e07ab24c4f06c00ce67f53b6f88ef94064	hermes_cli/linux_desktop_entry.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	none
1bf8bd2c7d2057de4fdf80236b0b017f7d7097e4	hermes_cli/model_search.py	CLI05-pr94-model-presentation	portable-mobile-presentation	implemented-unmerged-uncertified	pr94-unmerged-uncertified	none
01d8562fce28a77362e3e3ce7797f3aae57b1985	hermes_cli/auth.py;hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
907da145b6af089927a6d08904260f86f3813323	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
bd93a5f3160dc84d1891e27b49bffeb88483d8f0	hermes_cli/auth.py;hermes_cli/inventory.py;hermes_cli/models.py	CLI05-pr94-model-presentation	portable-mobile-presentation	implemented-unmerged-uncertified	pr94-unmerged-uncertified	none
f9849c43a24d410cbc937daa2216c811b729b578	hermes_cli/backup.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
d422f7103ec6e43cf40abeb0d3c258a5244fdcd3	hermes_cli/backup.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
2fb1e62b2ee0723486893ed30d5b481f5ad0b5b6	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
e5b96fcb10077f0b6ffaa06de6516dfcc510d992	hermes_cli/models.py;hermes_cli/runtime_provider.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
16476fad10e84c52767881d644c235a537e256e6	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
41ca67c5b13489272150d1250bb1e4d5a0a19178	hermes_cli/runtime_provider.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
5cb7b521cfa7a10380834d8e637aa7800441fbe0	hermes_cli/models.py;hermes_cli/runtime_provider.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
bbbc50acc23694ba1d356f467f358da3244e93de	hermes_cli/config_defaults.py;hermes_cli/main.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
91096bb2f05a85b1e58532fa04cf564d2113e297	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
4fad27a10150e591c3be4473f1c62fe84c184568	hermes_cli/subcommands/update.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
70151dd5493ffdf99327f26906a88e1bb1bc4f1a	hermes_cli/config_defaults.py;hermes_cli/subcommands/update.py	CLI06-cli-local-management	host-cli-runtime	host-cli-only	none	none
04acfb9673c641f6c3f511bfb88394d8dcb62c9f	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
f5adeed3dca7f9c0536661888ae37a518ea2ce53	hermes_cli/cli_agent_setup_mixin.py	CLI06-cli-local-management	host-cli-runtime	host-cli-only	none	none
c02cac00ce4eed7cd860b74026fa9729e2752fcf	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
7d6db4efb885856078e4d19f804035226df81e0d	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
eac3f645efe73ac294e0fed0d427c1aa07eb951d	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
01c14ad7f336c9fad67451e9fc6e3f149c2426e4	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
8f30e9c77a9e7a7b5c8ab445a85062777c821491	hermes_cli/debug.py	CLI11-predecessor-covered	predecessor-covered	covered-by-predecessor	none	authority:C08-failed-turn-diagnostics
9782275b2a79368d6247c0ee9cd5418523a5df3f	hermes_cli/_install_repair.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
a08b909199a5c4cdc83f6b2077f52d349ff4ba2c	hermes_cli/_install_repair.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
5b024c7cccb75e52d40d276315561447d6ce7a5e	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
91fb175188d00a02ffaaccfdc495b577c42e0052	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
83b09ebd0a11ad591a7e85fad02b89208b06f806	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
596bfc557fd0018d4a05e8b4fcfdb51ca644e060	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
a4f16e3fefdc537ef2e029006048444b9531839a	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
a18f90847b46786880fb9b4975c94c0393fc6a58	hermes_cli/gateway.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
667c787a1c4b332ea763fb24910268fbd5f7a219	hermes_cli/gateway.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	none
261a4efb90d7dbe4e71786861858f721b4ab730c	hermes_cli/gateway.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	none
a5b326a471d2e5cdf6741fbfd0913c85f6866aaa	hermes_cli/_install_repair.py;hermes_cli/auth.py;hermes_cli/backup.py;hermes_cli/cli_agent_setup_mixin.py;hermes_cli/config_defaults.py;hermes_cli/debug.py;hermes_cli/gateway.py;hermes_cli/inventory.py;hermes_cli/linux_desktop_entry.py;hermes_cli/main.py;hermes_cli/model_search.py;hermes_cli/models.py;hermes_cli/profiles.py;hermes_cli/runtime_provider.py;hermes_cli/subcommands/cron.py;hermes_cli/subcommands/update.py;hermes_cli/update_cmd.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	client-wire:W01-transcript-rewind-carriers
36161457237358df5b888b1ccd848a4d32b4cc63	hermes_cli/config_defaults.py	CLI06-cli-local-management	host-cli-runtime	host-cli-only	none	none
a36d6704b67c5a5d45ebffc283798ee4525e44b9	hermes_cli/config_defaults.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	core-runtime:R09-merge-parent-integration
679e9cd2943dddf59f50486c265a7ab110ad0f19	hermes_cli/_install_repair.py;hermes_cli/main.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
5d5179d7a9c0b1535cb11254835f9dbb53bd7e80	hermes_cli/uninstall.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
60b6269142db284f5142a73b4be8e6d78c0661a3	hermes_cli/update_inventory.py;hermes_cli/update_receipt.py	CLI03-pr91-durable-update-recovery	durable-host-update-recovery	covered-by-pr91-excluded	pr91-excluded	none
7a54ab22e648a0d2d7e740fad908dda93f025820	hermes_cli/update_inventory.py	CLI03-pr91-durable-update-recovery	durable-host-update-recovery	covered-by-pr91-excluded	pr91-excluded	none
fe95ed3930e3fe203c703a3893928e31b5ccbb69	hermes_cli/_install_repair.py;hermes_cli/auth.py;hermes_cli/backup.py;hermes_cli/cli_agent_setup_mixin.py;hermes_cli/config_defaults.py;hermes_cli/debug.py;hermes_cli/gateway.py;hermes_cli/inventory.py;hermes_cli/linux_desktop_entry.py;hermes_cli/main.py;hermes_cli/model_search.py;hermes_cli/models.py;hermes_cli/profiles.py;hermes_cli/runtime_provider.py;hermes_cli/subcommands/cron.py;hermes_cli/subcommands/update.py;hermes_cli/uninstall.py;hermes_cli/update_cmd.py;hermes_cli/update_inventory.py;hermes_cli/update_receipt.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	core-runtime:R09-merge-parent-integration
83864c0b5d8464bdd1afa3b6bae2d9b57332055c	hermes_cli/_install_repair.py;hermes_cli/main.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
0c435f4601c009eee91357cd9f46557dfb10f127	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
0b01599eefcb2ec8d464c8c7b2b11289bb37c207	hermes_cli/_install_repair.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
c9c44d0df92279815bfd00ad53b82a256781d497	hermes_cli/_install_repair.py;hermes_cli/main.py;hermes_cli/uninstall.py;hermes_cli/update_cmd.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	none
4ccc4b69319879faf568b38aea140ea443e0e8de	hermes_cli/main.py;hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
f4067774aa45f1d86bdc49f5319d7eeb080ca7be	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
4edb24276fb334a64ef310f29b13aaca9baeb9df	hermes_cli/nous_subscription.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
ce9ddd35e7922594ef6fc2a468bbf3b3b5765c86	hermes_cli/nous_subscription.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
8b86097a62ad9d35c74a6a62e2cf233c5ceb038d	hermes_cli/config.py;hermes_cli/nous_subscription.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
4ec57d56a941e8785e971d9e642f2545a9814a6f	hermes_cli/inventory.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
4f0e466e5d1cc136fbef19b38a75dd4c936c0834	hermes_cli/inventory.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
0404020f7b944398db529a0d09726a0e5f3c06a4	hermes_cli/__init__.py;hermes_cli/_install_repair.py;hermes_cli/auth.py;hermes_cli/backup.py;hermes_cli/build_info.py;hermes_cli/cli_agent_setup_mixin.py;hermes_cli/config.py;hermes_cli/config_defaults.py;hermes_cli/cron.py;hermes_cli/debug.py;hermes_cli/gateway.py;hermes_cli/gateway_enroll.py;hermes_cli/goals.py;hermes_cli/inventory.py;hermes_cli/linux_desktop_entry.py;hermes_cli/main.py;hermes_cli/model_normalize.py;hermes_cli/model_search.py;hermes_cli/model_setup_flows.py;hermes_cli/model_switch.py;hermes_cli/models.py;hermes_cli/nous_subscription.py;hermes_cli/profiles.py;hermes_cli/provider_catalog.py;hermes_cli/providers.py;hermes_cli/runtime_provider.py;hermes_cli/setup.py;hermes_cli/subcommands/cron.py;hermes_cli/subcommands/update.py;hermes_cli/uninstall.py;hermes_cli/update_cmd.py;hermes_cli/update_inventory.py;hermes_cli/update_receipt.py	CLI00-merge-parent-integration	merge-integration	merge-integration	none	authority:C01-canonical-routing
8ede2e147278e2448d20fe310249b8cffa9cf463	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
9ce46a09681c0b632aecdedfc74bbe25fbaf3e15	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
3503c06d80aff4a553837660ff7fd495be732b5d	hermes_cli/auth.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
b9f17ba3f10a9947ba69a5ab6cc4faa938235a44	hermes_cli/auth.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
5f0a8f8739a0d993dc60dbd3c070ef883ed26964	hermes_cli/auth.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
1684877868807aad695dd714b9109a216d5741ae	hermes_cli/update_cmd.py;hermes_cli/update_receipt.py	CLI03-pr91-durable-update-recovery	durable-host-update-recovery	covered-by-pr91-excluded	pr91-excluded	none
e366df6889e8554870ab1ededd83e70eb5ab0235	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
b44c2bdab28326e568abad176261b012a0858c6e	hermes_cli/dashboard_procs.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	none
3c44cd0c67b5a88aa7b2846d1a5304f18334db26	hermes_cli/dashboard_procs.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	none
503d863fcd2cbfc0be5a6d6c536fae2e98aa4204	hermes_cli/_early_recovery.py;hermes_cli/_install_repair.py;hermes_cli/main.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
63a9c26fbe6ca50138814111c21a4f4550ea85c1	hermes_cli/codex_models.py;hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
7b89e177745fab390d2e7bdbf5e231bf164be24f	hermes_cli/models.py	CLI04-provider-catalog-host-runtime	gateway-host-runtime	dynamic-catalog-already-consumed	existing-model-options-consumer	none
13f9d18e33cc1bf5d8b13e7d6f480c4bb7f9a2b7	hermes_cli/main.py	CLI06-cli-local-management	host-cli-runtime	host-cli-only	none	none
33e813da17fc7aeaff90ae96a03c9674c46100f6	hermes_cli/main.py	CLI06-cli-local-management	host-cli-runtime	host-cli-only	none	none
5c1a304ce890276a4334d8ced3f29ffeedbbbf93	hermes_cli/main.py	CLI06-cli-local-management	host-cli-runtime	host-cli-only	none	none
10f0d2278bf7ea7dd005e5c8b1b9dc47d108a1ec	hermes_cli/config_defaults.py	CLI01-dashboard-desktop-surface	desktop-only	desktop-only	none	client-wire:W08-client-direct-voice
08f5a0a98ba5094ef8ffe8d460037a83565620fe	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
6ce145f38f8189d70777d2321144a159ad40fb5d	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
fbfdb9312b4c5aa18ce4232ffd039451219874cd	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
0c14f060dbd325b41e287ab9c69b8c38ff9fa7ad	hermes_cli/update_cmd.py	CLI02-host-update-lifecycle	gateway-host-runtime	host-cli-only	none	none
