commit	paths	cluster	disposition	impact	contract	evidence	required
45078eb9413e87bbc3e0d007c58e58def4d7f27e	tui_gateway/ws.py	W02-browser-controller	gateway-only	security	Broker disconnect lock acquisition is offloaded so a controller send cannot deadlock the gateway event loop.	Transport-internal gateway concurrency; no client wire change.	Gateway stress test only.
13f209d4fd6cd763041a6e3fa42a11daec968af4	tui_gateway/methods_browser_control.py	W02-browser-controller	superseded	none	Internal browser auth-flow names and sentinel identity are deduplicated without changing the final wire.	Final W02 source contains the retained names.	No client work.
0a9a449a32e7dc244ae5e7809050162bf47f93f1	tui_gateway/methods_config.py	W03-private-diagnostics	portable-implemented-live-proof	request,response,security	Diagnostics upload requires accurate consent log-grade redaction dismissal fencing and linkless success.	PrivateDiagnosticsController bounded consent and source-lifecycle tests plus current diagnostics audit.	Physical device consent cancel retry and credential-redaction proof.
a5b326a471d2e5cdf6741fbfd0913c85f6866aaa	hermes_cli/web_routers/sessions.py;hermes_cli/web_server.py;tui_gateway/methods_browser_control.py;tui_gateway/methods_config.py;tui_gateway/methods_profiles.py;tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py;tui_gateway/ws.py	W01-transcript-rewind-carriers	merge-integration	none	Merge reconciles carrier rewind work with browser diagnostics and session lifecycle changes without a distinct client contract.	Final W01 target source and exact merge-parent path union.	Covered by the cluster-specific live matrices.
fd41164861575f5564cdb091dc16204d0f49883b	hermes_cli/web_routers/sessions.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	portable-implemented-live-proof	request,response	Retry undo and refreshed history keep composite-carrier rewinds race-safe and preserve the canonical live user view.	TranscriptActing row-id targeting and survivor rebinding plus transcript hydration and action-race tests.	Live refresh then retry and undo a composite carrier with exact profile collision negatives.
bd2afde48f3487421c8e625d89fa0c118938a583	tui_gateway/methods_session.py;tui_gateway/server.py	W04-session-profile-correctness	gateway-owned-live-proof	response,security	A shared launch SessionDB is never transferred into one resumed agent and closed under unrelated sessions.	Talaria uses exact profile resume and does not manage server DB handles.	Multi-profile live resume then close one session while peers continue.
349d9aee4304c31fb4cd5acb0fdc2befc2f731ad	tui_gateway/server.py	W04-session-profile-correctness	gateway-only	security	Refused shared-handle transfer is logged and database handle caching remains process-owned.	No client-visible request or response change.	Gateway regression test only.
fe2e6b76c4847146dbb2565c546f744f828996c5	tui_gateway/methods_session.py	W04-session-profile-correctness	gateway-owned-live-proof	request,response	Messaging a never-used bot can create or resume the correct profile session instead of failing session-not-found.	Canonical birth and source-qualified resume paths already accept fresh profiles.	Live first message to a never-used local and foreign bot.
bef31fb06bbfae3e2ded660e0aceafe35399eca2	tui_gateway/methods_profiles.py;tui_gateway/methods_session.py	W04-session-profile-correctness	portable-implemented-live-proof	response	Canonical Bot Chat lookup resurrects only recoverably archived rows and retains exact title identity.	CanonicalSessionIdentity exact-title root-tip resolver and archived/missing fail-closed tests.	Live recoverable versus deliberate archive matrix.
4865194772e6af2af7ac974f73b6f50454264cb5	tui_gateway/methods_session.py	W04-session-profile-correctness	gateway-owned-live-proof	response	Recoverable archive resurrection returns honest reused session identity after review hardening.	Talaria validates exact resume identity and canonical root/tip authority.	Gateway and live canonical recovery proof.
26a4f89ada5dc62980b4aa1666397dcc6e9f5101	tui_gateway/methods_session.py	W04-session-profile-correctness	gateway-owned-live-proof	request,response	Profile resume may adopt an exact stranded session from the default store rather than minting a shadow session.	Talaria submits exact profile and durable key and validates the returned stored identity.	Live legacy stranded-session adoption with cross-profile collision negative case.
80b202f53aa719eebb73ae1af596fa806f7768d3	tui_gateway/methods_session.py	W04-session-profile-correctness	gateway-owned-live-proof	response,security	Adoption requires exact-id donor nondivergence and reports donor_retired honestly.	ExactStoredSessionNavigation refuses mismatched resume identities; donor mechanics remain gateway-owned.	Gateway divergence and donor-retirement tests plus one migration proof.
764dba69532e2ead23f57c2db3998ec007a3d3ce	tui_gateway/methods_bot_relay.py	W05-bot-relay-delivery	gateway-owned-live-proof	security	Relay delivery sweeps stale artifacts and always removes its bounded temporary message file.	Talaria does not host the Desktop relay filesystem.	Gateway tempfile cleanup and stale-artifact tests.
64eb6bb7fc029ba03331abac379288c30b9e2157	tui_gateway/methods_bot_relay.py	W05-bot-relay-delivery	gateway-owned-live-proof	response	Relay failures carry typed reason codes rather than only free-form text.	Talaria failed-turn and A2A projections preserve typed gateway error data without authoring it.	Live auth quota context and target-busy relay failures.
ac3f9a2dc4fe20fc24c1cfbdabf500a9d2b41ef3	tui_gateway/methods_bot_relay.py	W05-bot-relay-delivery	gateway-owned-live-proof	request,response	Per-profile delivery locks serialize concurrent relay and local turns and bound target-busy outcomes.	Room and A2A clients already treat gateway ordering as authority.	Concurrent local and relay delivery to one target with no transcript interleave.
c460e87d10def7cf0c11b3b045156147b40c3dd5	tui_gateway/methods_bot_relay.py	W05-bot-relay-delivery	gateway-owned-live-proof	response	Turn-lock review follow-ups retain bounded wait and honest refusal semantics.	No distinct Talaria request shape.	Gateway concurrency regression suite.
42a6d761d2dc7dc2b618c26ca10983896a5186de	tui_gateway/methods_bot_relay.py	W05-bot-relay-delivery	gateway-only	security	Relay CLI resolution adds shutil.which and pins UTF-8 replacement decoding.	Server subprocess implementation only.	Gateway executable-resolution and malformed-output tests.
091106092b5d6488c7f9adc94c613cfb8fe21363	hermes_cli/web_server.py	W06-dashboard-update-config	portable-gap	response	Hermes update completion survives backend restart through a durable action identity instead of an in-memory PID inference.	Talaria actionStatus still requires the originally accepted PID in every status response.	Separate runtime PR: decode action_id and durable receipt with exact request/gateway/operation fencing and restart tests.
8804e78354c913165687cc5397dcc6cc764bb118	hermes_cli/web_server.py	W06-dashboard-update-config	portable-gap	response,security	Update status and receipt expose durable outcome pre/post revision and version rather than equating liveness with success.	GatewayCommandAction ignores receipt and rejects terminal status without the original PID.	Same update-receipt runtime PR; bound fields and never display command output or secrets.
f293e7206b4ddd66042329442c6afebc19a8808d	hermes_cli/web_server.py	W06-dashboard-update-config	dashboard-only	response	A stale dashboard process refuses model picker requests with an explicit 503 code-skew explanation.	Talaria talks directly to the restarted gateway and already treats model.options failure as unavailable.	N/A dashboard guard; live gateway update reconnect covers mobile.
3ac63066555a0e853b64b9d59a911a202c70e819	hermes_cli/web_server.py	W06-dashboard-update-config	dashboard-only	response	A single-field bot_mode config section folds into the dashboard agent tab.	Native settings do not render dashboard schema tabs.	N/A mobile layout.
a07ada235c52b928e7977b4c101767ca0d929371	hermes_cli/web_server.py	W06-dashboard-update-config	superseded	none	Delivery-spawn test sentinel and bot_mode tab folding are stabilized without a new client contract.	Final dashboard schema is not consumed by Talaria.	No client action.
5a85c4a77b8d08eea2c63af8acbb3803df8cc8f8	hermes_cli/web_server.py	W06-dashboard-update-config	dashboard-only	request,security	Dashboard terminal configuration resolves inside the selected profile scope.	Talaria Advanced Terminal sends an exact profile on its PTY route rather than consuming dashboard argv construction.	N/A mobile implementation; retain PTY exact-profile tests.
3a8172114707dab067289d38bae44f1bb468ecf6	hermes_cli/web_server.py	W06-dashboard-update-config	dashboard-only	request	Exported terminal environment overrides survive selected-profile config application.	Native PTY does not build the dashboard subprocess environment.	N/A client work.
b7cb32122312589edb967e1722d87bae48dd818e	hermes_cli/web_server.py	W06-dashboard-update-config	dashboard-only	request	Dashboard terminal cwd keeps its placeholder fallback when profile config omits a value.	Talaria workspace/PTY picker owns its native fallback.	N/A dashboard-only behavior.
65c58651b0e34ab3d2c25b7024609ef9c7b7ffef	hermes_cli/web_server.py	W06-dashboard-update-config	portable-implemented-live-proof	response	The review auxiliary slot appears in model option inventories on every surface.	AuxiliaryModelAdministration includes review among the typed gateway-declared slots.	Live refresh and save review model against 057dcdf.
d9a48f656a7c2dca3fcf8c84bbd5d9cb00d4273b	hermes_cli/web_server.py	W06-dashboard-update-config	gateway-owned-live-proof	none	Desktop scheduler ticks every profile store so sleeping-profile jobs continue firing.	Talaria lists and edits gateway cron jobs but does not own scheduler execution.	Live sleeping-profile routine fire and delivery proof.
9c013eaaf80a7adad9f46d21d5c8b60ad11cd9ad	hermes_cli/web_server.py	W06-dashboard-update-config	dashboard-only	event	Dashboard terminal follows scroll after implicit active-session resume.	Native SwiftUI terminal has independent scroll state.	N/A web presentation.
4e8419dadb502f762d09dad5de6537847ae10318	tui_gateway/server.py	W07-approval-review	portable-implemented-live-proof	request,response,security	Approval policy honors the exact scope capabilities declared by the gateway.	ApprovalPolicy and source-qualified approval target tests validate allowed choices and exact destinations.	Live allow once session and global scope matrix.
12395e57b4a3e7fa3610408c043011ec7ba2f8ad	tui_gateway/server.py	W07-approval-review	gateway-owned-live-proof	request,response,event	Review dispatch is a live-session slash command whose reviewer result returns through normal subagent events.	Talaria generic command execution and subagent transcript projection consume gateway-declared output; no client-authored review engine.	Run review from phone and prove one reviewer child plus final transcript delivery.
9b3f60c02924d5efbb3b8e07167e0c1bf42a86b7	tui_gateway/methods_prompt.py	W07-approval-review	portable-implemented-live-proof	request,response,security	approval.respond resolves by durable session identity before returning 4001 for a rotated runtime id.	ApprovalResponseTarget captures request gateway runtime and durable ids; reconnect replay is source-qualified.	Collision and reconnect certification: rotate runtime while approval is parked and answer only the exact request.
10f0d2278bf7ea7dd005e5c8b1b9dc47d108a1ec	hermes_cli/web_server.py	W08-client-direct-voice	desktop-only	request,response,security	Desktop may fetch active-profile client-direct STT/TTS provider configuration behind voice.client_direct.	Talaria keeps provider credentials on the gateway and uses authenticated bounded audio endpoints; it must not download raw provider keys.	N/A port; verify mobile voice remains server-mediated and no secret reaches diagnostics or UI.
30a37668d9ad995a4843c8c6d41837ed38966f53	tui_gateway/server.py	W09-ws-session-lifecycle	gateway-owned-live-proof	event	An orphan reap reschedules while a detached turn is still running instead of finalizing live work.	Reconnect resumes exact stored sessions and treats gateway lifecycle events as authority.	Disconnect during a long turn then reconnect inside and outside grace.
14b50f5eddbe1566d4d99ae4a3fad0b7473f0d04	tui_gateway/methods_session.py;tui_gateway/server.py	W09-ws-session-lifecycle	gateway-owned-live-proof	event	After WS grace expiry a still-running detached turn is interrupted before its runtime is reaped.	Talaria durable composer/reconnect reconciliation handles terminal interruption and resume absence.	Long-turn network loss beyond grace with no zombie runtime.
3dd0ed1d3865c1f8f6fbb4a89a6d9ab69a7f7c71	tui_gateway/server.py	W09-ws-session-lifecycle	gateway-only	none	Interrupt-then-reap polling has a finite force-reap budget.	Gateway timer-chain implementation only.	Gateway bounded-timer regression.
f2dbd37ef9c812575dcee1c3f430eaee7fcd16c7	tui_gateway/server.py	W09-ws-session-lifecycle	gateway-owned-live-proof	event	Closing one pop-out rebinds a session to a surviving viewer transport rather than parking it.	Talaria uses one app transport but tolerates sessions also viewed elsewhere.	Desktop plus phone concurrent viewer close and continued phone turn.
4aa162b30d44967f5fd4b1f2315d258d10461702	tui_gateway/methods_session.py;tui_gateway/server.py	W09-ws-session-lifecycle	portable-implemented-live-proof	response,event	Resume cancels pending orphan reaps and quietly supersedes stale runtimes for the same durable key.	ExactStoredSessionNavigation and reconnect generation fencing accept only returned exact durable identity and session.reclaimed events.	Repeated disconnect resume and runtime rotation without feedback storm.
fdd8d75ba06e949c46d8fbb4037a0130b353dc60	hermes_cli/web_server.py;tui_gateway/server.py	W09-ws-session-lifecycle	gateway-owned-live-proof	event	WS keepalive and orphan-reap grace are config-driven rather than hard-coded client assumptions.	Talaria does not time destructive conclusions from a fixed 20-second constant; it re-proves via resume/liveness.	Live nondefault grace configuration with background/foreground cycle.
b4d4167d42b7438f711036ba16d732b18e791a54	tui_gateway/methods_session.py	W09-ws-session-lifecycle	gateway-owned-live-proof	response	Lazy or unpersisted resume rebinds transport and cancels the pending reap.	Talaria validates resume ACK identity for both persisted and live-only sessions.	Live lazy-session reconnect proof.
c305839442902d423798bc5cf319c2a2cd97ce45	tui_gateway/server.py	W09-ws-session-lifecycle	gateway-only	none	Session-not-found rejections are logged for gateway diagnosability.	No response shape change; Talaria already surfaces bounded 4001 recovery.	Gateway log assertion only.
d3e4b50e68b8bc0f202ef1ba8f11d4f051f2c791	tui_gateway/entry.py;tui_gateway/server.py;tui_gateway/ws.py	W09-ws-session-lifecycle	gateway-owned-live-proof	event	Startup performs a config-gated delayed sweep of provably orphaned tui desktop and subagent rows.	Talaria consumes the resulting ended/absent state and never runs server startup cleanup.	Kill gateway mid-session restart and prove recent/live exclusions plus eventual mobile reconciliation.
47d6ce78a24920a5f1baa51332efb8b45d1fef19	tui_gateway/server.py	W09-ws-session-lifecycle	gateway-only	none	Startup orphan reap is recoverable and configured under dashboard scope.	No client wire shape.	Gateway config and failure-containment tests.
a7977771a6386abf3b383469598cfd0ced8d2806	tui_gateway/server.py	W09-ws-session-lifecycle	gateway-only	security	Disconnect revalidates transport ownership before sentinel parking.	Talaria cannot choose server transport ownership.	Gateway stale-disconnect race regression.
d6bc3f2bca1f5ae4a1509926dc47b06de4903179	tui_gateway/ws.py	W09-ws-session-lifecycle	gateway-only	security	WebSocket sockets enable TCP keepalive for dead-peer detection.	URLSession transport consumes disconnect; it does not configure server sockets.	Platform gateway socket option tests and live half-open link proof.
cdd37035d986b8e17e6924ce5de892057dff0b4f	tui_gateway/server.py	W09-ws-session-lifecycle	desktop-only	request,response	Desktop probes a half-open gateway socket on wake before trusting it.	Talaria has its own NetworkMonitor supervised reconnect and open heartbeat PR.	N/A Desktop hook; retain iOS wake/reconnect certification.
50bbcbf2b483c7a15a180fe1fb6ea142b62d8928	hermes_cli/web_server.py	W10-dashboard-security	gateway-only	security	Unscoped SQLite corruption fails closed rather than borrowing another profile database.	Talaria always supplies exact profile authority; database selection remains server-owned.	Gateway corruption and cross-profile negative tests.
d3df14a7e368c2d3522bf91dace2f3054e26818d	hermes_cli/web_server.py	W10-dashboard-security	dashboard-only	request,security	Loopback reverse-proxy mode trusts only configured public host and origin and requires auth when public_url is set.	Talaria uses direct authenticated gateway URLs and does not host the dashboard SPA.	N/A client port; deployment auth/Host/Origin security tests.
b03b8ac51d547bc142be68d81b3f5dc24ff94cb1	hermes_cli/web_server.py	W10-dashboard-security	dashboard-only	response,security	Fail-closed dashboard refusals name the exact public exposure gate without weakening it.	No native client response dependency.	N/A port; preserve bounded nonsecret error wording.
9a71cb95cbec1ae4069b90f37ee33985100839f4	tui_gateway/ws.py	W11-application-heartbeat	portable-implemented-open-pr-live-proof	request,response,event	gateway.ready advertises heartbeat support and gateway.ping returns exact ok so clients can detect silent half-open sockets.	Implemented and fully tested in open PR73 head d1825fe8412a7ed6b6f4a430370545f0c8682bd4; intentionally absent from this PR85 audit base.	Merge/rebase PR73 then retain device sleep Wi-Fi handoff and stale-generation live proof; do not duplicate runtime here.
1a95d0d58e59669f8dc1b0b955e372411f6be410	hermes_cli/web_routers/sessions.py;hermes_cli/web_server.py;tui_gateway/entry.py;tui_gateway/methods_bot_relay.py;tui_gateway/methods_profiles.py;tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py;tui_gateway/ws.py	W01-transcript-rewind-carriers	merge-integration	none	Composite-carrier retry integration preserves the final gateway transcript and lifecycle contracts.	Final W01 net source plus exact merge-parent paths.	Covered by W01 and W09 live matrices.
ec5e369fe68f4abb3188767c751d6166d2139f0a	hermes_cli/web_routers/sessions.py;hermes_cli/web_server.py;tui_gateway/methods_bot_relay.py;tui_gateway/methods_prompt.py;tui_gateway/methods_session.py;tui_gateway/methods_tools.py;tui_gateway/server.py	W01-transcript-rewind-carriers	merge-integration	none	Final pull-request merge carries retry-carrier behavior without a separate client delta.	Final target tree and exact two-parent path union.	No independent implementation; retain as coverage evidence.
