commit	paths	cluster	classification	disposition	contract	evidence	required
ce944a5a55621784a0ba9a9583c6dea804a05866	gateway/run.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
41e29a601e8b3b1afd132967c607924d2963a4d2	gateway/run.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
92018e76a8cde141ab89d9f0e6e63502d9ae9610	gateway/run.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
e173720774470138ed222d173ec78ce018b7ad3d	gateway/run.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
bf3a0bb99d348416fd17cf3574da3d1d730fb88f	gateway/run.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
f12cd040151ec485b953ae0a9f30abdcbb260f70	gateway/kanban_watchers.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
5b024c7cccb75e52d40d276315561447d6ce7a5e	gateway/run.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
91fb175188d00a02ffaaccfdc495b577c42e0052	gateway/run.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
684e95a0012b12a1405d126bdba1141fa58ef43d	gateway/run.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
bdd281d0784232382bbb9314bbc6f0ce4bfae2d1	gateway/kanban_watchers.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
a18f90847b46786880fb9b4975c94c0393fc6a58	gateway/shutdown_forensics.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
667c787a1c4b332ea763fb24910268fbd5f7a219	gateway/kanban_watchers.py;gateway/run.py;gateway/shutdown_forensics.py	G07-merge-integration	merge-integration	merge-integration	Merge-parent integration carries already classified gateway behavior without a distinct retained contract.	Every-parent union records the merge contribution explicitly.	Covered by final-source and predecessor/live matrices; no separate feature.
261a4efb90d7dbe4e71786861858f721b4ab730c	gateway/kanban_watchers.py;gateway/run.py;gateway/shutdown_forensics.py	G07-merge-integration	merge-integration	merge-integration	Merge-parent integration carries already classified gateway behavior without a distinct retained contract.	Every-parent union records the merge contribution explicitly.	Covered by final-source and predecessor/live matrices; no separate feature.
aa08cb8ccb1a560ba774ea605886cd02e502a6e0	gateway/config.py;gateway/run.py;gateway/shutdown_watchdog.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
36161457237358df5b888b1ccd848a4d32b4cc63	gateway/config.py;gateway/run.py;gateway/shutdown_watchdog.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
8ee0103ea2f85f277b465a4558d6fa85e7739b6b	gateway/config.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
999703fd43ab6d75c4a5c7bc8b610dd73ecece76	gateway/run.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
60b6269142db284f5142a73b4be8e6d78c0661a3	gateway/control_socket.py;gateway/run.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
67aac4d863db4e1b5a462672d4cb6bdf7a3196ef	gateway/control_socket.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
7a54ab22e648a0d2d7e740fad908dda93f025820	gateway/control_socket.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
231e613d3d66a9e3d150741481839092053b2f3e	gateway/platforms/api_server.py	G01-client-projection	portable-mobile-contract	covered-current-talaria	Names-served profile and gateway API projection remain bounded and source-qualified.	Current Talaria source-routing and profile presentation policies cover the portable projection.	Retain exact gateway/profile/source ownership; live proof remains tracked by predecessor ledgers.
793fba428ade996975cb300eb3aa512ebe6ffb41	gateway/run.py	G06-platform-housekeeping	gateway-host-runtime	verify-on-host	Platform-specific maintenance and operational cleanup remain adapter-local host behavior.	No new source-qualified client payload is exposed.	Verify affected platform adapter on host.
265bdcac822804daf4448e227f766284b2ab46da	gateway/platforms/api_server.py	G03-source-profile-auth	gateway-host-runtime	host-only	Platform adapters, pairing, webhook authorization, and source adapter selection remain host authority.	Talaria consumes authenticated source-qualified output but cannot implement platform transport authority.	Verify platform adapter/auth behavior on the Hermes host.
6cb1085d3d8b7af6849ff902dc58a88b7408da0c	gateway/platforms/api_server.py;gateway/platforms/webhook.py	G03-source-profile-auth	gateway-host-runtime	host-only	Platform adapters, pairing, webhook authorization, and source adapter selection remain host authority.	Talaria consumes authenticated source-qualified output but cannot implement platform transport authority.	Verify platform adapter/auth behavior on the Hermes host.
739bc555b1932e66c169b20edec3a48368e2dd3f	gateway/platforms/api_server.py	G07-merge-integration	merge-integration	merge-integration	Merge-parent integration carries already classified gateway behavior without a distinct retained contract.	Every-parent union records the merge contribution explicitly.	Covered by final-source and predecessor/live matrices; no separate feature.
4b659f0e3301d895f8b9d806c75009742e897e0b	gateway/readiness.py;gateway/run.py;gateway/session.py;gateway/session_db_recovery.py;gateway/status.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
80cec2785dab6a400f79bf0d0e3b1157549ee81d	gateway/session.py;gateway/session_db_recovery.py	G04-delivery-session-recovery	gateway-host-runtime	verify-on-host	Startup delivery claims, redelivery, readiness, session DB recovery, and watcher settlement are host durability contracts.	Client reconnect/source slices already consume outcomes; production recovery correctness remains host-owned.	Run host restart/redelivery proof without weakening Talaria source admission.
f5a9ba9ee641e8317403ff79236fe955c1f1a881	gateway/platforms/bluebubbles.py	G06-platform-housekeeping	gateway-host-runtime	verify-on-host	Platform-specific maintenance and operational cleanup remain adapter-local host behavior.	No new source-qualified client payload is exposed.	Verify affected platform adapter on host.
2912c36aa41c2e33f3f61d16de0a3897a1e6cef1	gateway/authz_mixin.py	G03-source-profile-auth	gateway-host-runtime	host-only	Platform adapters, pairing, webhook authorization, and source adapter selection remain host authority.	Talaria consumes authenticated source-qualified output but cannot implement platform transport authority.	Verify platform adapter/auth behavior on the Hermes host.
2a27e1ffb3825a59c4484cfdd4bd9cdbfdfb9735	gateway/run.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
7fbf6e724fd64ff4bafea8b0400c41e3f249d0b7	gateway/run.py	G05-host-lifecycle	gateway-host-runtime	host-only	Shutdown watchdog, control socket, configuration, and process lifecycle remain Hermes host mechanics.	These changes do not add a portable mobile wire contract.	Verify lifecycle on the host; no iOS implementation required.
ee7b307a6b91c5f60d350fd837ca8f0d9010b359	gateway/run.py	G07-merge-integration	merge-integration	merge-integration	Merge-parent integration carries already classified gateway behavior without a distinct retained contract.	Every-parent union records the merge contribution explicitly.	Covered by final-source and predecessor/live matrices; no separate feature.
d7e4204e77edb278508862b4e2094819c9ae180b	gateway/platforms/weixin.py;gateway/platforms/yuanbao.py;gateway/run.py	G03-source-profile-auth	gateway-host-runtime	host-only	Platform adapters, pairing, webhook authorization, and source adapter selection remain host authority.	Talaria consumes authenticated source-qualified output but cannot implement platform transport authority.	Verify platform adapter/auth behavior on the Hermes host.
7befc1d2dd76f436758aeacfb625557ecefe798c	gateway/platforms/signal.py;gateway/platforms/weixin.py;gateway/platforms/yuanbao.py	G03-source-profile-auth	gateway-host-runtime	host-only	Platform adapters, pairing, webhook authorization, and source adapter selection remain host authority.	Talaria consumes authenticated source-qualified output but cannot implement platform transport authority.	Verify platform adapter/auth behavior on the Hermes host.
e210fd8c1ffd937996aecdba2a3675a387e65109	gateway/pairing.py	G03-source-profile-auth	gateway-host-runtime	host-only	Platform adapters, pairing, webhook authorization, and source adapter selection remain host authority.	Talaria consumes authenticated source-qualified output but cannot implement platform transport authority.	Verify platform adapter/auth behavior on the Hermes host.

